coins
1 4 9
1 5 11
1 5 12
1 5 16
1 6 13
1 6 14
1 6 15
1 6 19
1 6 20
1 7 15
1 7 16
1 7 17
1 7 18
1 8 17
1 8 18
1 8 19
1 8 20
1 9 19
1 9 20
1 2 6 13
1 2 7 15
1 2 7 16
1 2 8 17
1 2 8 18
1 2 8 19
1 2 9 19
1 2 9 20
1 3 5 8
1 3 6 10
1 3 6 13
1 3 7 12
1 3 7 16
1 3 8 14
1 3 8 17
1 3 8 19
1 3 9 16
1 3 9 19
1 3 9 20
1 3 10 18
1 3 11 20
1 4 7 11
1 4 7 12
1 4 7 15
1 4 7 18
1 4 8 13
1 4 8 14
1 4 8 17
1 4 8 18
1 4 9 14
1 4 9 15
1 4 9 16
1 4 9 17
1 4 9 18
1 4 9 19
1 4 9 20
1 4 10 17
1 4 10 18
1 4 11 19
1 4 11 20
1 5 9 14
1 5 9 15
1 5 9 16
1 5 9 19
1 5 9 20
1 5 10 16
1 5 10 17
1 5 10 18
1 5 11 17
1 5 11 18
1 5 11 19
1 5 11 20
1 5 12 19
1 5 12 20
1 6 11 17
1 6 11 18
1 6 11 19
1 6 11 20
1 6 12 19
1 6 12 20
1 6 13 20
1 7 13 20
1 2 3 8 17
1 2 3 9 19
1 2 3 9 20
1 2 4 6 9
1 2 4 7 11
1 2 4 8 13
1 2 4 8 17
1 2 4 9 15
1 2 4 9 20
1 2 4 10 17
1 2 4 11 19
1 2 5 8 12
1 2 5 8 13
1 2 5 9 14
1 2 5 9 15
1 2 5 9 19
1 2 5 10 16
1 2 5 10 17
1 2 5 11 18
1 2 5 11 19
1 2 5 12 20
1 2 6 10 15
1 2 6 10 16
1 2 6 10 17
1 2 6 11 17
1 2 6 11 18
1 2 6 11 19
1 2 6 12 19
1 2 6 12 20
1 2 6 13 20
1 2 7 12 18
1 2 7 12 19
1 2 7 12 20
1 2 7 13 20
1 3 5 7 10
1 3 5 7 12
1 3 5 8 11
1 3 5 8 12
1 3 5 8 13
1 3 5 8 14
1 3 5 8 15
1 3 5 8 16
1 3 5 8 17
1 3 5 8 18
1 3 5 8 19
1 3 5 8 20
1 3 5 9 14
1 3 5 9 16
1 3 5 9 20
1 3 5 10 16
1 3 5 10 18
1 3 5 11 18
1 3 5 11 20
1 3 5 12 20
1 3 6 9 13
1 3 6 9 14
1 3 6 9 16
1 3 6 9 19
1 3 6 10 14
1 3 6 10 15
1 3 6 10 16
1 3 6 10 17
1 3 6 10 18
1 3 6 10 19
1 3 6 10 20
1 3 6 11 17
1 3 6 11 18
1 3 6 11 20
1 3 6 12 19
1 3 6 12 20
1 3 6 13 20
1 3 7 11 16
1 3 7 11 17
1 3 7 11 18
1 3 7 11 20
1 3 7 12 17
1 3 7 12 18
1 3 7 12 19
1 3 7 12 20
1 3 7 13 20
1 3 8 13 19
1 3 8 13 20
1 3 8 14 20
1 4 7 10 14
1 4 7 10 15
1 4 7 10 17
1 4 7 10 18
1 4 7 11 15
1 4 7 11 16
1 4 7 11 17
1 4 7 11 18
1 4 7 11 19
1 4 7 11 20
1 4 7 12 17
1 4 7 12 18
1 4 7 12 19
1 4 7 12 20
1 4 7 13 20
1 4 8 12 17
1 4 8 12 18
1 4 8 12 19
1 4 8 13 18
1 4 8 13 19
1 4 8 13 20
1 4 8 14 20
1 4 9 14 19
1 4 9 14 20
1 5 9 13 18
1 5 9 13 19
1 5 9 13 20
1 5 9 14 19
1 5 9 14 20
1 2 3 5 7 10
1 2 3 5 8 12
1 2 3 5 9 14
1 2 3 5 10 16
1 2 3 5 11 18
1 2 3 5 12 20
1 2 3 6 9 13
1 2 3 6 9 14
1 2 3 6 10 15
1 2 3 6 10 16
1 2 3 6 11 17
1 2 3 6 11 18
1 2 3 6 12 19
1 2 3 6 12 20
1 2 3 7 11 16
1 2 3 7 11 17
1 2 3 7 11 18
1 2 3 7 12 18
1 2 3 7 12 19
1 2 3 7 12 20
1 2 3 7 13 20
1 2 3 8 13 19
1 2 3 8 13 20
1 2 4 6 8 11
1 2 4 6 8 13
1 2 4 6 9 12
1 2 4 6 9 13
1 2 4 6 9 14
1 2 4 6 9 15
1 2 4 6 9 16
1 2 4 6 9 17
1 2 4 6 9 18
1 2 4 6 9 19
1 2 4 6 9 20
1 2 4 6 10 15
1 2 4 6 10 17
1 2 4 6 11 17
1 2 4 6 11 19
1 2 4 6 12 19
1 2 4 7 10 14
1 2 4 7 10 15
1 2 4 7 10 17
1 2 4 7 11 15
1 2 4 7 11 16
1 2 4 7 11 17
1 2 4 7 11 18
1 2 4 7 11 19
1 2 4 7 11 20
1 2 4 7 12 18
1 2 4 7 12 19
1 2 4 7 13 20
1 2 4 8 12 17
1 2 4 8 12 18
1 2 4 8 12 19
1 2 4 8 13 18
1 2 4 8 13 19
1 2 4 8 13 20
1 2 4 9 14 20
1 2 5 8 11 15
1 2 5 8 11 16
1 2 5 8 11 18
1 2 5 8 11 19
1 2 5 8 12 16
1 2 5 8 12 17
1 2 5 8 12 18
1 2 5 8 12 19
1 2 5 8 12 20
1 2 5 8 13 18
1 2 5 8 13 19
1 2 5 8 13 20
1 2 5 9 13 18
1 2 5 9 13 19
1 2 5 9 13 20
1 2 5 9 14 19
1 2 5 9 14 20
1 2 6 10 14 19
1 2 6 10 14 20
1 2 6 10 15 20
1 3 5 7 9 12
1 3 5 7 9 14
1 3 5 7 9 16
1 3 5 7 10 13
1 3 5 7 10 14
1 3 5 7 10 15
1 3 5 7 10 16
1 3 5 7 10 17
1 3 5 7 10 18
1 3 5 7 10 19
1 3 5 7 10 20
1 3 5 7 11 16
1 3 5 7 11 18
1 3 5 7 11 20
1 3 5 7 12 17
1 3 5 7 12 18
1 3 5 7 12 19
1 3 5 7 12 20
1 3 5 7 13 20
1 3 5 8 11 14
1 3 5 8 11 15
1 3 5 8 11 16
1 3 5 8 11 17
1 3 5 8 11 18
1 3 5 8 11 19
1 3 5 8 11 20
1 3 5 8 12 16
1 3 5 8 12 17
1 3 5 8 12 18
1 3 5 8 12 19
1 3 5 8 12 20
1 3 5 8 13 18
1 3 5 8 13 19
1 3 5 8 13 20
1 3 5 8 14 20
1 3 5 9 13 18
1 3 5 9 13 19
1 3 5 9 13 20
1 3 5 9 14 19
1 3 5 9 14 20
1 3 6 9 12 16
1 3 6 9 12 17
1 3 6 9 12 19
1 3 6 9 12 20
1 3 6 9 13 17
1 3 6 9 13 18
1 3 6 9 13 19
1 3 6 9 13 20
1 3 6 9 14 19
1 3 6 9 14 20
1 3 6 10 14 18
1 3 6 10 14 19
1 3 6 10 14 20
1 3 6 10 15 20
1 3 7 11 15 20
1 4 7 10 13 17
1 4 7 10 13 18
1 4 7 10 13 20
1 4 7 10 14 18
1 4 7 10 14 19
1 4 7 10 14 20
1 4 7 10 15 20
1 4 7 11 15 19
1 4 7 11 15 20
1 2 3 4 6 8 11
1 2 3 4 6 9 13
1 2 3 4 6 10 15
1 2 3 4 6 11 17
1 2 3 4 6 12 19
1 2 3 4 7 10 14
1 2 3 4 7 10 15
1 2 3 4 7 11 16
1 2 3 4 7 11 17
1 2 3 4 7 12 18
1 2 3 4 7 12 19
1 2 3 4 7 13 20
1 2 3 4 8 12 17
1 2 3 4 8 12 18
1 2 3 4 8 12 19
1 2 3 4 8 13 19
