coins
1 2 4 5 8
1 2 5 6 10
1 2 6 7 12
1 2 7 8 14
1 2 8 9 16
1 2 9 10 18
1 2 10 11 20
1 2 3 5 6 9
1 2 3 5 6 10
1 2 3 6 7 11
1 2 3 6 7 12
1 2 3 7 8 13
1 2 3 7 8 14
1 2 3 8 9 15
1 2 3 8 9 16
1 2 3 9 10 17
1 2 3 9 10 18
1 2 3 10 11 19
1 2 3 10 11 20
1 2 4 5 7 10
1 2 4 5 8 11
1 2 4 5 8 12
1 2 4 5 8 14
1 2 4 5 8 15
1 2 4 5 8 16
1 2 4 5 8 17
1 2 4 5 8 18
1 2 4 5 8 19
1 2 4 5 8 20
1 2 4 7 9 14
1 2 4 8 10 16
1 2 4 9 11 18
1 2 4 10 12 20
1 2 5 6 10 14
1 2 5 6 10 15
1 2 5 6 10 18
1 2 5 6 10 19
1 2 5 6 10 20
1 2 6 7 12 17
1 2 6 7 12 18
1 2 7 8 14 20
1 3 5 8 10 15
1 3 5 9 11 17
1 3 5 10 12 19
1 3 6 8 11 16
1 2 3 4 6 7 10
1 2 3 4 6 7 11
1 2 3 4 6 7 12
1 2 3 4 7 8 12
1 2 3 4 7 8 13
1 2 3 4 7 8 14
1 2 3 4 7 9 14
1 2 3 4 8 9 14
1 2 3 4 8 9 15
1 2 3 4 8 9 16
1 2 3 4 8 10 16
1 2 3 4 9 10 16
1 2 3 4 9 10 17
1 2 3 4 9 10 18
1 2 3 4 9 11 18
1 2 3 4 10 11 18
1 2 3 4 10 11 19
1 2 3 4 10 11 20
1 2 3 4 10 12 20
1 2 3 4 11 12 20
1 2 3 5 6 7 11
1 2 3 5 6 8 11
1 2 3 5 6 9 12
1 2 3 5 6 9 13
1 2 3 5 6 9 15
1 2 3 5 6 9 16
1 2 3 5 6 9 17
1 2 3 5 6 9 18
1 2 3 5 6 9 19
1 2 3 5 6 9 20
1 2 3 5 6 10 14
1 2 3 5 6 10 15
1 2 3 5 6 10 17
1 2 3 5 6 10 18
1 2 3 5 6 10 19
1 2 3 5 6 10 20
1 2 3 5 8 10 15
