amount,reachable,greedy_num_coins,optimal_num_coins,greedy_is_optimal
1,True,1,1,True
2,True,2,2,True
3,True,3,3,True
4,True,1,1,True
5,True,1,1,True
6,True,2,2,True
7,True,3,3,True
8,True,4,2,False
9,True,2,2,True
10,True,2,2,True
11,True,3,3,True
12,True,4,3,False
13,True,5,3,False
14,True,3,3,True
15,True,3,3,True
16,True,4,4,True
17,True,5,4,False
18,True,6,4,False
19,True,4,4,True
20,True,4,4,True
21,True,5,5,True
22,True,6,5,False
23,True,7,5,False
24,True,5,5,True
25,True,5,5,True
26,True,6,6,True
27,True,7,6,False
28,True,8,6,False
29,True,6,6,True
30,True,6,6,True
31,True,7,7,True
32,True,8,7,False
33,True,9,7,False
34,True,7,7,True
35,True,7,7,True
36,True,8,8,True
37,True,9,8,False
38,True,10,8,False
39,True,8,8,True
40,True,8,8,True
41,True,9,9,True
42,True,10,9,False
43,True,11,9,False
44,True,9,9,True
45,True,9,9,True
46,True,10,10,True
47,True,11,10,False
48,True,12,10,False
49,True,10,10,True
50,True,10,10,True
51,True,11,11,True
52,True,12,11,False
53,True,13,11,False
54,True,11,11,True
55,True,11,11,True
56,True,12,12,True
57,True,13,12,False
58,True,14,12,False
59,True,12,12,True
60,True,12,12,True
61,True,13,13,True
62,True,14,13,False
63,True,15,13,False
64,True,13,13,True
65,True,13,13,True
66,True,14,14,True
67,True,15,14,False
68,True,16,14,False
69,True,14,14,True
70,True,14,14,True
71,True,15,15,True
72,True,16,15,False
73,True,17,15,False
74,True,15,15,True
75,True,15,15,True
76,True,16,16,True
77,True,17,16,False
78,True,18,16,False
79,True,16,16,True
80,True,16,16,True
81,True,17,17,True
82,True,18,17,False
83,True,19,17,False
84,True,17,17,True
85,True,17,17,True
86,True,18,18,True
87,True,19,18,False
88,True,20,18,False
89,True,18,18,True
90,True,18,18,True
91,True,19,19,True
92,True,20,19,False
93,True,21,19,False
94,True,19,19,True
95,True,19,19,True
96,True,20,20,True
97,True,21,20,False
98,True,22,20,False
99,True,20,20,True
100,True,20,20,True
